Scotland's Census 2022 - National Records of Scotland
Table UV202 - National Identity
All people

,"All people","Scottish identity only","British identity only","Scottish and British identities only","Scottish and any other identities","English identity only","Any other combination of UK identities (UK only)","Other identity only (1)","Other identity and at least one UK identity"
"S00160023",132,79,22,21,2,1,-,10,-
"S00160024",109,72,13,19,4,-,1,1,-
"S00160025",101,65,12,12,4,-,-,6,-
"S00160026",108,77,20,10,-,1,-,-,-
"S00160027",96,77,6,15,-,1,-,1,-
"S00160028",84,61,10,2,4,-,1,6,-
"S00160029",95,67,7,2,3,-,-,16,-
"S00160030",204,103,51,6,14,1,-,31,1
"S00160031",101,51,14,2,4,7,-,26,-
"S00160032",85,55,10,3,-,-,-,15,-
"S00160033",98,70,8,11,-,-,-,1,-
"S00160034",119,68,15,9,4,-,-,22,2
"S00160035",175,140,22,13,-,-,-,3,-
"S00160036",147,80,35,18,8,2,-,7,-
"S00160037",135,84,21,3,3,1,4,19,1
"S00160038",91,38,12,5,5,-,-,30,-
"S00160039",124,102,17,6,-,1,1,-,-
"S00160040",197,143,21,9,7,1,-,14,-
"S00160041",132,90,18,19,-,-,3,4,-
"S00160042",161,114,10,11,2,-,-,26,-
"S00160043",150,81,-,5,13,1,-,45,3
"S00160044",110,93,11,5,-,2,-,3,-
"S00160045",141,47,37,-,6,-,-,51,-
"S00160046",92,55,18,3,3,-,-,11,-
"S00160047",61,38,8,7,2,2,-,6,-
"S00160048",144,116,7,11,1,3,1,5,-
"S00160049",182,85,46,9,7,-,1,33,1
"S00160050",117,87,18,-,-,-,-,12,-
"S00160051",122,78,12,3,4,4,-,21,-
"S00160052",93,65,14,4,-,2,-,5,-
"S00160053",169,132,20,13,3,-,2,1,-
"S00160054",68,36,4,6,1,-,5,14,-
"S00160055",116,85,10,2,6,7,-,11,-
"S00160056",199,164,14,11,2,2,-,6,-
"S00160057",130,62,17,9,9,2,1,32,-
"S00160058",67,50,2,4,-,-,-,11,-
"S00160059",126,67,26,28,-,1,-,6,-
"S00160060",85,45,9,9,2,2,1,17,-
"S00160061",126,67,19,12,2,-,-,27,-
"S00160062",68,50,3,6,-,2,-,7,-
"S00160063",112,52,10,5,6,1,1,37,-
"S00160064",84,55,20,6,-,2,1,-,-
"S00160065",157,95,9,23,1,1,1,21,-
"S00160066",76,36,2,7,2,-,-,29,-
"S00160067",90,67,4,7,4,2,-,9,1
"S00160068",133,94,28,6,1,-,-,1,-
"S00160069",85,60,6,10,-,-,-,12,1
"S00160070",135,96,16,4,-,1,1,11,2
"S00160071",124,70,19,11,4,-,2,19,-
"S00160072",137,73,13,15,3,3,-,29,2
"S00160073",69,43,2,2,3,-,-,18,-
"S00160074",107,72,14,14,3,-,-,3,1
"S00160075",98,58,7,7,6,-,-,22,-
"S00160076",139,102,20,9,1,1,-,9,-
"S00160077",123,95,15,11,1,-,-,3,-
"S00160078",80,60,12,4,2,-,2,4,-
"S00160079",138,74,15,7,8,5,-,28,1
"S00160080",89,64,9,12,-,-,2,2,-
"S00160081",124,77,10,7,5,2,-,21,-
"S00160082",151,94,18,10,8,-,-,23,1
"S00160083",75,27,10,4,3,1,1,26,1
"S00160084",85,65,4,8,-,-,-,8,-
"S00160085",127,41,5,23,4,1,-,51,-
"S00160086",124,87,18,12,-,-,1,5,1
"S00160087",167,132,16,14,-,3,-,2,-
"S00160088",70,46,5,10,4,-,-,4,-
"S00160089",89,70,8,7,-,1,1,1,-
"S00160090",98,81,3,3,-,1,-,11,-
"S00160091",127,58,6,6,14,1,1,36,-
"S00160092",132,66,9,1,10,2,-,44,-
"S00160093",111,76,12,19,1,-,1,3,-
"S00160094",113,63,8,4,4,1,3,30,2
"S00160095",77,46,9,2,4,-,-,17,-
"S00160096",110,93,4,6,-,-,-,6,-
"S00160097",137,56,25,8,14,5,-,30,-
"S00160098",135,82,13,6,4,4,-,24,-
"S00160099",73,57,6,6,2,-,1,1,-
"S00160100",120,55,7,7,12,-,1,40,2
"S00160101",64,41,14,8,-,1,-,-,-
"S00160102",96,46,5,5,4,-,2,30,-
"S00160103",151,75,15,13,8,2,-,38,4
"S00160104",100,57,23,11,2,-,-,8,-
"S00160105",115,88,11,8,2,1,2,3,-
"S00160106",98,48,16,10,1,2,-,20,-
"S00160107",147,65,14,10,3,4,-,35,16
"S00160108",132,112,8,10,2,-,1,1,-
"S00160109",83,62,10,2,1,-,2,3,-
"S00160110",126,87,16,17,2,-,1,5,-
"S00160111",71,60,8,4,-,-,1,3,-
"S00160112",74,57,13,3,1,-,-,-,-
"S00160113",129,92,18,12,3,-,-,4,-
"S00160114",92,40,27,7,4,3,1,10,-
"S00160115",148,77,24,9,6,2,3,20,3
"S00160116",91,52,1,2,1,4,-,29,-
"S00160117",81,48,5,9,4,-,1,14,1
"S00160118",114,82,10,6,-,6,-,12,-
"S00160119",208,130,23,8,5,2,4,35,-
"S00160120",81,56,4,1,-,-,6,8,2
"S00160121",71,59,7,2,2,1,-,-,-
"S00160122",71,47,7,8,6,-,-,3,-
"S00160123",104,81,9,3,3,3,-,5,-
"S00160124",134,62,8,16,1,4,3,33,2
"S00160125",117,80,13,9,6,-,2,7,-
"S00160126",155,128,18,2,3,-,-,3,-
"S00160127",99,83,6,5,5,-,-,2,-
"S00160128",97,56,6,4,2,-,1,26,1
"S00160129",106,84,12,7,-,1,-,1,-
"S00160130",122,65,27,10,4,1,-,14,1
"S00160131",70,51,6,4,2,2,-,4,-
"S00160132",124,109,5,4,4,-,-,3,-
"S00160133",134,98,8,15,-,1,4,8,-
"S00160134",177,128,27,12,2,3,1,-,-
"S00160135",113,73,6,5,14,-,-,14,1
"S00160136",115,77,19,12,2,-,2,3,-
"S00160137",125,76,39,4,1,-,2,4,-
"S00160138",106,49,8,8,8,-,-,33,-
"S00160139",173,149,9,11,-,-,-,6,-
"S00160140",68,37,12,1,8,-,-,10,-
"S00160141",117,69,10,4,2,2,2,26,-
"S00160142",116,64,11,5,5,2,-,25,1
"S00160143",118,75,9,6,4,2,1,21,-
"S00160144",84,50,16,6,6,-,-,11,-
"S00160145",164,121,22,7,-,-,-,16,1
"S00160146",130,44,14,8,3,-,2,55,2
"S00160147",73,39,2,7,3,2,1,17,-
"S00160148",80,52,13,6,1,1,1,5,-
"S00160149",61,29,7,5,5,-,-,16,1
"S00160150",174,132,19,11,4,3,-,7,-
"S00160151",88,63,19,5,1,-,-,2,-
"S00160152",132,66,17,3,9,-,-,31,2
"S00160153",125,78,16,16,4,2,1,6,-
"S00160154",158,98,32,22,2,1,-,2,1
"S00160155",100,65,8,6,5,1,1,9,-
"S00160156",128,73,5,4,6,-,-,40,1
"S00160157",104,51,21,3,4,1,1,22,-
"S00160158",98,63,18,11,-,1,2,1,-
"S00160159",155,89,8,20,15,-,1,18,1
"S00160160",89,47,5,3,-,-,1,29,-
"S00160161",175,122,29,18,-,-,1,6,-
"S00160162",138,87,20,11,5,2,1,12,-
"S00160163",151,67,12,10,10,-,-,47,2
"S00160164",71,44,10,2,3,1,1,13,1
"S00160165",153,100,26,10,5,-,-,10,-
"S00160166",107,68,25,8,1,2,1,5,-
"S00160167",97,70,14,7,2,1,1,3,-
"S00160168",138,108,13,8,1,1,-,6,-
"S00160169",65,55,7,3,-,-,-,-,-
"S00160170",98,62,21,9,-,2,3,3,-
"S00160171",91,53,22,8,-,-,-,5,-
"S00160172",76,55,12,4,-,-,-,4,-
"S00160173",63,51,6,9,-,-,-,2,-
"S00160174",71,57,7,-,2,-,-,3,-
"S00160175",107,96,11,3,-,-,-,1,-
"S00160176",88,68,9,5,-,2,-,1,-
"S00160177",95,52,20,9,6,1,1,5,1
"S00160178",132,94,19,9,1,-,-,5,-
"S00160179",97,70,18,3,-,-,-,1,-
"S00160180",187,142,25,11,3,3,-,3,-
"S00160181",85,61,14,8,-,-,-,1,-
"S00160182",119,82,12,7,6,2,-,15,-
"S00160183",135,106,14,1,3,-,-,9,-
"S00160184",93,80,9,4,-,-,-,2,-
"S00160185",117,82,10,14,2,1,-,4,-
"S00160186",62,47,11,1,-,-,-,5,-
"S00160187",88,44,11,1,2,-,-,23,-
"S00160188",124,85,15,13,-,-,-,5,3
"S00160189",84,63,5,7,-,1,1,7,-
"S00160190",122,92,7,13,8,1,-,3,-
"S00160191",78,50,12,-,7,1,-,8,-
"S00160192",129,47,16,5,10,5,1,45,2
"S00160193",213,103,50,33,9,4,2,8,1
"S00160194",97,54,12,7,-,4,1,18,-
"S00160195",239,127,43,22,11,2,-,29,2
"S00160196",87,52,21,8,1,2,1,2,-
"S00160197",131,90,12,10,4,2,-,9,2
"S00160198",94,68,8,11,1,-,-,4,-
"S00160199",81,61,9,-,3,-,-,8,-
"S00160200",141,66,25,5,7,-,-,39,1
"S00160201",116,82,11,15,1,-,-,9,-
"S00160202",147,77,2,4,4,6,1,49,-
"S00160203",92,61,9,12,7,-,2,4,-
"S00160204",66,41,19,8,2,-,-,-,-
"S00160205",109,64,11,7,5,-,2,20,3
"S00160206",127,94,13,4,-,-,2,11,-
"S00160207",70,53,6,10,1,-,-,-,-
"S00160208",114,85,10,11,4,2,-,6,-
"S00160209",110,70,7,3,1,-,-,27,-
"S00160210",104,58,18,8,1,-,-,11,8
"S00160211",143,75,11,7,5,8,-,35,1
"S00160212",86,68,9,7,-,-,-,2,-
"S00160213",105,74,20,5,-,1,-,5,-
"S00160214",81,27,13,6,2,-,1,33,-
"S00160215",162,84,21,17,5,2,1,28,4
"S00160216",128,61,13,9,9,-,-,32,2
"S00160217",104,62,23,15,-,-,-,3,-
"S00160218",130,66,19,11,10,1,2,21,-
"S00160219",148,123,9,10,2,3,2,-,-
"S00160220",80,46,4,3,6,-,2,19,-
"S00160221",132,76,14,4,7,-,-,27,3
"S00160222",113,70,28,7,-,-,-,6,1
"S00160223",205,126,36,19,4,3,4,15,-
"S00160224",114,66,13,6,-,1,5,21,-
"S00160225",104,54,18,17,6,-,-,9,-
"S00160226",65,42,9,4,4,1,-,7,2
"S00160227",73,48,14,-,2,-,-,11,-
"S00160228",98,70,14,4,-,-,-,10,-
"S00160229",96,70,14,9,1,1,-,1,-
"S00160230",141,77,21,9,8,-,-,18,5
"S00160231",114,68,16,12,2,1,1,15,-
"S00160232",141,93,31,14,1,-,-,3,-
"S00160233",62,36,4,7,1,2,-,12,-
"S00160234",96,51,10,6,1,4,2,23,-
"S00160235",113,24,13,4,18,-,3,47,7
"S00160236",98,76,15,4,-,-,-,-,-
"S00160237",101,73,1,8,4,4,-,11,-
"S00160238",68,39,10,4,3,-,-,12,-
"S00160239",154,79,22,3,4,-,-,46,2
"S00160240",198,89,34,10,1,2,-,65,1
"S00160241",80,73,6,-,-,1,-,-,-
"S00160242",120,59,12,11,9,-,2,25,-
"S00160243",88,82,2,2,-,-,-,2,-
"S00160244",128,102,10,10,2,2,-,1,-
"S00160245",118,101,5,2,1,1,-,11,-
"S00160246",117,78,16,10,4,-,1,6,-
"S00160247",133,83,8,6,3,2,-,31,-
"S00160248",86,72,4,5,1,1,-,4,-
"S00160249",127,97,15,10,-,1,1,3,-
"S00160250",64,39,8,4,3,1,-,4,3
"S00160251",84,50,10,15,2,-,-,8,-
"S00160252",115,72,15,2,7,1,-,30,-
"S00160253",129,87,20,8,-,-,2,14,-
"S00160254",127,101,9,6,-,2,1,6,-
"S00160255",93,64,17,9,-,-,3,2,-
"S00160256",104,67,16,12,4,-,-,5,-
"S00160257",73,62,9,4,-,-,2,-,-
"S00160258",137,113,9,10,-,-,-,4,-
"S00160259",60,33,6,6,-,1,-,9,-
"S00160260",102,63,21,14,-,-,2,1,-
"S00160261",72,53,2,5,-,-,-,14,-
"S00160262",82,61,7,9,-,1,1,3,-
"S00160263",76,72,4,-,-,-,-,-,-
"S00160264",79,58,6,6,1,2,-,7,-
"S00160265",102,78,10,8,3,-,-,4,-
"S00160266",236,126,51,20,6,3,-,29,1
"S00160267",134,94,12,8,2,-,-,17,3
"S00160268",65,49,6,5,-,1,-,2,-
"S00160269",122,83,17,15,1,-,-,-,-
"S00160270",85,69,9,7,-,-,-,2,-
"S00160271",96,71,14,8,2,-,-,-,-
"S00160272",97,73,10,7,-,1,2,2,-
"S00160273",86,59,6,10,-,-,-,5,-
"S00160274",120,65,21,3,8,2,-,18,4
"S00160275",104,63,15,12,1,4,-,7,-
"S00160276",85,68,7,3,2,-,-,8,-
"S00160277",88,67,9,4,2,-,1,9,-
"S00160278",133,95,13,13,2,2,-,2,-
"S00160279",128,57,11,6,3,1,-,47,2
"S00160280",90,81,5,4,-,-,-,-,-
"S00160281",123,81,9,15,-,-,3,16,-
"S00160282",154,115,15,8,7,-,1,8,3
"S00160283",75,52,5,6,3,1,-,6,1
"S00160284",93,61,14,3,-,-,-,16,-
"S00160285",94,66,12,4,2,-,-,5,5
"S00160286",66,44,10,4,-,2,1,6,-
"S00160287",172,87,33,13,13,2,1,19,5
"S00160288",74,60,14,3,-,-,-,2,-
"S00160289",215,160,31,10,3,-,4,3,3
"S00160290",140,115,10,13,-,1,1,-,-
"S00160291",72,28,10,4,1,1,-,27,1
"S00160292",86,46,12,11,3,1,2,11,-
"S00160293",97,66,9,13,-,-,-,9,-
"S00160294",68,21,7,6,6,1,-,27,-
"S00160295",111,84,10,2,2,2,-,15,-
"S00160296",104,53,1,4,4,1,-,41,-
"S00160297",138,67,23,14,2,3,-,31,-
"S00160298",154,74,12,13,14,2,-,38,1
"S00160299",163,64,38,24,10,3,3,21,-
"S00160300",89,73,4,7,2,-,-,3,-
"S00160301",107,49,17,10,7,-,-,21,-
"S00160302",183,108,21,15,14,2,-,22,1
"S00160303",69,52,9,4,2,1,-,-,-
"S00160304",114,85,21,4,-,4,-,1,-
"S00160305",70,58,10,7,-,-,-,-,-
"S00160306",123,61,29,5,4,-,-,22,-
"S00160307",107,50,9,4,3,2,-,34,-
"S00160308",122,89,17,4,1,-,-,12,-
"S00160309",113,59,10,9,5,3,-,18,6
"S00160310",95,72,11,3,-,-,1,12,-
"S00160311",109,71,9,8,1,1,1,12,1
"S00160312",117,74,16,8,2,2,-,13,1
"S00160313",92,59,9,5,2,-,-,17,2
"S00160314",162,92,7,5,3,3,1,51,-
"S00160315",160,116,16,4,6,-,-,14,-
"S00160316",380,271,53,5,14,3,-,32,4
"S00160317",82,61,8,9,1,1,-,-,-
"S00160318",205,181,10,12,-,-,2,-,-
"S00160319",86,49,6,9,2,-,-,17,1
"S00160320",71,50,8,3,-,-,-,8,-
"S00160321",144,110,19,10,-,-,-,5,-
"S00160322",102,51,17,24,2,1,-,8,-
"S00160323",78,52,11,10,-,-,-,7,-
"S00160324",98,76,6,7,2,-,-,4,-
"S00160325",82,51,11,3,8,1,1,10,-
"S00160326",95,70,11,5,-,2,-,5,2
"S00160327",80,50,11,3,4,1,1,10,-
"S00160328",92,71,10,6,1,-,-,2,-
"S00160329",144,75,22,5,3,4,-,38,-
"S00160330",87,64,4,10,2,1,1,5,-
"S00160331",68,23,4,7,3,-,1,27,-
"S00160332",65,47,9,3,1,-,-,2,-
"S00160333",105,72,7,8,1,2,-,14,1
"S00160334",115,53,16,21,2,2,1,21,-
"S00160335",136,86,8,4,10,-,2,27,-
"S00160336",68,33,12,6,1,-,2,15,-
"S00160337",206,149,24,18,9,3,2,5,-
"S00160338",95,78,7,4,-,-,-,2,2
"S00160339",146,98,26,19,-,3,-,7,-
"S00160340",107,64,9,8,3,-,-,21,-
"S00160341",96,79,8,7,-,-,-,5,-
"S00160342",93,73,7,10,3,-,-,1,-
"S00160343",140,80,11,7,7,-,5,23,2
"S00160344",83,55,11,6,1,1,-,10,-
"S00160345",120,100,12,9,2,-,1,-,-
"S00160346",68,36,3,4,2,1,-,24,-
"S00160347",87,77,8,1,-,-,1,-,-
"S00160348",102,90,6,5,1,-,-,2,-
"S00160349",91,82,4,2,-,-,-,2,-
"S00160350",137,101,15,7,4,-,-,4,2
"S00160351",111,93,5,8,1,1,-,-,-
"S00160352",77,58,5,1,-,-,-,14,1
"S00160353",130,82,24,26,-,-,-,-,-
"S00160354",109,72,16,16,2,1,2,1,-
"S00160355",97,33,30,19,3,-,2,8,-
"S00160356",77,60,9,-,-,-,-,7,1
"S00160357",152,113,16,18,1,-,-,4,-
"S00160358",87,45,8,3,3,4,3,17,4
"S00160359",89,29,5,14,6,5,4,22,-
"S00160360",92,52,5,12,2,-,-,21,-
"S00160361",106,65,6,9,-,1,-,21,-
"S00160362",185,129,12,12,6,-,1,18,7
"S00160363",126,94,16,8,2,4,-,5,-
"S00160364",102,68,6,7,2,-,-,21,1
"S00160365",95,67,9,10,-,-,-,4,-
"S00160366",128,96,17,7,2,-,1,5,-
"S00160367",206,119,10,5,8,-,-,64,-
"S00160368",98,65,25,4,1,-,1,-,-
"S00160369",112,67,10,15,3,-,4,9,-
"S00160370",85,45,7,10,2,-,-,24,-
"S00160371",91,74,6,4,2,-,2,6,-
"S00160372",204,138,24,17,3,7,2,13,1
"S00160373",166,91,26,18,12,4,2,13,3
"S00160374",64,34,9,6,1,-,2,17,-
"S00160375",123,71,11,12,5,1,-,22,4
"S00160376",111,61,8,3,14,3,-,20,-
"S00160377",148,106,15,11,1,4,-,8,-
"S00160378",132,97,17,11,1,2,-,-,-
"S00160379",184,128,15,16,-,-,1,23,-
"S00160380",136,104,7,4,3,1,-,16,1
"S00160381",95,68,1,6,5,-,1,14,-
"S00160382",138,102,15,6,1,-,-,14,-
"S00160383",138,87,28,7,3,-,-,9,1
"S00160384",156,99,17,3,8,1,-,27,1
"S00160385",70,56,3,1,4,4,-,2,-
"S00160386",86,73,9,4,-,1,-,4,-
"S00160387",130,58,28,10,6,-,-,26,2
"S00160388",222,173,22,8,2,4,-,3,8
"S00160389",172,86,22,5,21,3,-,35,-
"S00160390",88,55,17,8,-,1,-,3,-
"S00160391",99,86,2,5,1,1,-,3,-
"S00160392",96,55,25,8,1,-,2,4,2
"S00160393",175,129,26,17,-,1,-,-,-
"S00160394",82,38,9,8,5,-,-,22,-
"S00160395",76,37,25,6,6,-,-,2,-
"S00160396",73,32,6,7,14,1,-,10,-
"S00160397",172,131,21,12,-,-,-,7,-
"S00160398",151,77,32,15,2,-,1,22,4
"S00160399",76,56,11,6,-,-,-,-,-
"S00160400",90,71,9,7,-,-,1,-,1
"S00160401",83,63,8,8,-,-,-,1,-
"S00160402",91,68,5,1,1,-,-,7,9
"S00160403",228,106,27,43,10,5,1,31,9
"S00160404",142,81,36,16,2,2,1,7,1
"S00160405",79,46,17,1,5,-,1,5,2
"S00160406",132,100,15,8,8,1,-,4,-
"S00160407",146,88,29,7,4,1,2,12,-
"S00160408",157,128,5,12,-,-,-,12,-
"S00160409",150,91,25,18,3,2,2,10,-
"S00160410",106,63,13,12,1,7,1,8,1
"S00160411",126,64,14,10,10,2,4,18,-
"S00160412",138,105,8,2,1,3,-,14,5
"S00160413",147,77,31,10,15,4,-,11,1
"S00160414",129,78,14,2,7,2,1,23,-
"S00160415",122,69,17,23,4,-,-,9,-
"S00160416",94,65,10,4,2,1,-,11,-
"S00160417",64,41,6,6,-,-,-,11,-
"S00160418",77,48,14,6,-,1,-,9,-
"S00160419",86,68,7,6,-,2,-,1,-
"S00160420",250,162,29,24,8,2,2,23,1
"S00160421",68,53,1,6,1,1,-,6,-
"S00160422",174,120,25,7,3,5,-,14,-
"S00160423",82,64,9,7,-,1,2,-,-
"S00160424",155,107,19,13,-,2,1,10,-
"S00160425",112,73,17,13,-,1,-,2,-
"S00160426",212,123,21,16,11,3,4,31,4
"S00160427",105,75,7,2,5,1,-,15,-
"S00160428",64,38,4,3,2,1,-,16,1
"S00160429",112,63,14,10,9,3,2,12,-
"S00160430",97,68,9,5,1,-,1,13,-
"S00160431",67,35,18,11,-,2,-,1,-
"S00160432",132,84,7,7,6,2,-,23,1
"S00160433",233,87,33,46,22,3,-,42,1
"S00160434",90,59,14,10,-,-,3,6,-
"S00160435",67,49,7,10,1,-,-,3,-
"S00160436",68,44,6,3,1,-,-,14,-
"S00160437",112,83,12,8,4,-,-,5,-
"S00160438",127,92,11,9,4,1,-,7,1
"S00160439",62,52,6,2,-,-,-,-,-
"S00160440",76,44,9,12,-,5,1,5,2
"S00160441",84,57,8,13,-,-,-,4,-
"S00160442",115,73,19,10,5,3,2,6,-
"S00160443",127,78,28,17,2,1,1,2,-
"S00160444",76,62,8,3,1,1,1,-,-
"S00160445",130,106,8,9,-,-,-,5,-
"S00160446",71,38,1,4,15,-,-,7,-
"S00160447",104,87,14,1,-,2,-,-,-
"S00160448",65,49,4,8,2,-,-,-,-
"S00160449",149,76,34,22,5,1,-,9,2
"S00160450",74,52,8,6,-,-,-,4,-
"S00160451",77,66,2,4,-,-,-,4,-
"S00160452",105,79,6,12,5,1,-,2,-
"S00160453",201,151,14,20,1,1,-,12,2
"S00160454",77,56,8,4,2,-,-,8,-
"S00160455",137,70,33,8,6,2,4,12,2
"S00160456",127,80,4,2,6,-,-,29,-
"S00160457",88,60,13,4,6,-,-,4,1
"S00160458",124,65,20,21,4,5,2,3,-
"S00160459",123,102,12,6,1,-,-,1,-
"S00160460",70,49,10,4,-,1,-,6,-
"S00160461",58,49,6,3,1,-,-,3,-
"S00160462",71,39,15,4,1,3,2,7,3
"S00160463",109,82,6,11,2,1,-,6,-
"S00160464",118,80,7,8,6,1,1,15,-
"S00160465",130,58,24,29,4,4,1,14,-
"S00160466",121,94,8,4,2,1,1,10,-
"S00160467",109,71,17,7,-,-,-,8,-
"S00160468",121,96,16,9,-,-,-,-,-
"S00160469",80,53,11,4,1,-,1,14,-
"S00160470",112,79,15,12,-,4,-,2,-
"S00160471",91,66,16,4,-,-,1,3,-
"S00160472",102,85,10,1,3,-,-,4,-
"S00160473",97,81,11,5,2,1,-,-,-
"S00160474",90,42,12,14,6,-,4,12,1
"S00160475",81,69,5,3,1,2,-,1,-
"S00160476",106,88,8,5,2,-,-,-,-
"S00160477",85,45,15,4,-,-,1,20,-
"S00160478",146,83,35,2,4,-,-,16,-
"S00160479",128,54,12,3,29,2,-,30,-
"S00160480",58,46,5,8,1,-,-,4,-
"S00160481",129,98,15,16,-,-,1,2,-
"S00160482",83,46,9,-,7,2,4,17,-
"S00160483",134,76,18,9,9,3,-,21,2
"S00160484",113,70,20,6,3,4,-,8,-
"S00160485",93,77,9,1,-,-,-,5,-
"S00160486",150,79,30,17,6,1,3,13,1
"S00160487",90,72,3,9,-,-,-,6,-
"S00160488",163,66,56,17,10,1,1,14,-
"S00160489",61,41,3,5,-,6,2,4,-
"S00160490",81,48,8,3,6,-,-,16,-
"S00160491",131,63,33,10,-,2,1,12,-
"S00160492",111,68,14,16,2,1,1,8,-
"S00160493",173,87,50,18,3,-,2,12,-
"S00160494",174,125,25,20,-,1,2,1,-
"S00160495",75,64,3,3,-,1,1,3,-
"S00160496",96,68,11,8,3,-,-,3,2
"S00160497",176,102,18,7,9,2,4,31,-
"S00160498",86,68,8,9,-,-,-,1,-
"S00160499",167,102,27,10,3,-,-,24,1
"S00160500",194,84,36,22,15,1,-,23,14
"S00160501",112,49,30,3,6,-,3,18,1
"S00160502",93,74,8,3,2,-,-,10,-
"S00160503",147,77,28,7,5,6,-,26,1
"S00160504",120,88,12,6,4,-,1,11,-
"S00160505",97,77,16,3,-,-,-,-,-
"S00160506",162,52,51,33,-,-,4,21,2
"S00160507",104,83,13,5,-,-,-,4,-
"S00160508",85,67,4,9,-,-,1,2,-
"S00160509",94,72,8,9,-,-,-,5,-
"S00160510",122,67,17,6,8,1,-,20,-
"S00160511",138,87,28,11,1,-,-,11,-
"S00160512",112,61,13,2,3,2,2,30,-
"S00160513",123,106,12,-,-,2,-,-,-
"S00160514",232,155,35,23,9,4,3,6,-
"S00160515",70,56,5,5,-,-,-,9,-
"S00160516",119,64,11,4,4,-,-,38,-
"S00160517",86,65,15,5,1,-,2,-,-
"S00160518",133,49,35,17,5,-,1,27,1
"S00160519",62,47,5,1,-,-,-,8,1
"S00160520",103,94,4,4,-,2,-,-,-
"S00160521",116,86,14,11,4,-,1,-,-
"S00160522",75,56,10,9,-,-,-,3,-
"S00160523",111,91,3,7,1,1,1,6,-
"S00160524",165,143,6,7,-,-,3,6,-
"S00160525",112,59,13,3,13,6,2,17,-
"S00160526",157,91,38,24,1,2,-,5,-
"S00160527",113,68,11,21,4,1,-,5,2
"S00160528",160,91,4,14,5,-,-,50,-
"S00160529",130,86,21,19,-,-,-,-,-
"S00160530",220,170,20,16,2,-,1,12,-
"S00160531",131,96,7,6,4,-,-,19,-
"S00160532",122,90,2,2,3,-,-,27,-
"S00160533",169,127,9,9,3,2,2,17,-
"S00160534",117,60,12,8,3,8,-,28,-
"S00160535",117,93,11,10,3,-,-,4,-
"S00160536",74,59,6,1,1,-,-,7,-
"S00160537",157,69,53,23,4,-,2,4,2
"S00160538",84,58,13,7,4,-,-,2,-
"S00160539",120,59,6,11,11,-,-,30,-
"S00160540",63,43,5,2,2,-,-,12,-
"S00160541",71,48,4,-,4,-,-,13,2
"S00160542",74,39,11,4,8,-,-,12,-
"S00160543",169,111,34,14,3,1,2,4,-
"S00160544",66,35,14,5,2,-,4,6,-
"S00160545",170,106,21,14,6,-,1,21,1
"S00160546",79,70,-,1,-,-,1,5,-
"S00160547",117,83,16,4,2,1,-,11,-
"S00160548",66,57,5,6,-,1,-,3,-
"S00160549",167,103,15,24,4,1,4,15,1
"S00160550",91,65,7,7,6,2,-,4,-
"S00160551",90,59,7,5,1,-,1,17,-
"S00160552",139,92,20,5,-,-,3,19,-
"S00160553",223,85,49,55,15,6,4,9,-
"S00160554",121,88,16,7,-,1,-,9,-
"S00160555",76,21,8,14,7,4,1,21,-
"S00160556",170,124,10,7,4,-,-,26,-
"S00160557",99,44,6,5,1,-,-,44,-
"S00160558",117,76,11,26,3,-,-,4,2
"S00160559",86,42,13,7,5,2,-,20,3
"S00160560",92,34,23,23,-,4,5,6,2
"S00160561",79,55,11,2,1,-,-,10,-
"S00160562",80,46,22,4,2,4,-,3,-
"S00160563",105,80,13,7,-,-,-,5,-
"S00160564",101,61,15,7,3,3,1,7,-
"S00160565",127,63,22,10,7,7,-,18,-
"S00160566",118,71,13,13,7,1,3,9,1
"S00160567",98,57,7,6,5,-,-,20,-
"S00160568",107,74,6,2,4,-,-,22,-
"S00160569",162,132,7,15,-,1,-,5,-
"S00160570",169,71,37,14,19,4,2,20,2
"S00160571",177,72,62,19,8,4,1,12,-
"S00160572",72,33,15,6,6,-,-,11,-
"S00160573",101,70,3,8,1,-,-,20,1
"S00160574",124,66,13,5,11,1,-,25,-
"S00160575",156,105,25,15,3,-,2,4,1
"S00160576",95,68,5,8,2,2,2,5,-
"S00160577",62,45,8,2,1,-,-,4,-
"S00160578",86,54,17,6,2,4,-,5,-
"S00160579",69,42,2,7,-,3,-,13,-
"S00160580",106,56,9,6,2,-,-,35,-
"S00160581",160,129,11,15,4,-,1,2,-
"S00160582",87,70,11,-,4,1,-,-,-
"S00160583",86,59,4,9,3,2,-,12,-
"S00160584",137,105,6,10,3,3,5,6,-
"S00160585",197,140,11,27,9,-,-,7,-
"S00160586",82,68,9,5,-,1,-,1,-
"S00160587",118,78,8,8,5,2,-,18,-
"S00160588",102,49,22,16,6,1,2,4,1
"S00160589",87,71,6,6,1,-,-,2,-
"S00160590",86,62,10,9,3,-,-,1,-
"S00160591",89,47,16,4,5,2,-,15,-
"S00160592",161,95,23,29,6,1,5,1,-
"S00160593",89,53,9,4,3,3,4,15,-
"S00160594",148,105,1,8,3,-,2,27,-
"S00160595",69,41,13,3,2,-,-,10,2
"S00160596",116,84,6,6,7,-,-,13,-
"S00160597",122,96,14,13,-,-,1,1,-
"S00160598",135,65,19,16,7,4,2,24,-
"S00160599",145,107,16,9,2,-,-,9,1
"S00160600",75,50,12,16,-,-,-,2,-
